trial,best_epoch,best_val_micro_f1_tuned,best_val_macro_f1_tuned,best_val_weighted_f1_tuned,thresholds,learning_rate,epochs,batch_size,weight_decay,dropout,max_length,pos_weight_mode
21,3,0.789147143254005,0.7044503303627749,0.7923610087438706,"{""toxic"": 0.9250000000000004, ""severe_toxic"": 0.8000000000000003, ""obscene"": 0.8250000000000003, ""threat"": 0.3750000000000001, ""insult"": 0.8250000000000003, ""identity_hate"": 0.6000000000000002}",2.5e-05,4,16,0.01,0.1,128,raw
30,4,0.7833056937534549,0.7044033762459992,0.7873132232541707,"{""toxic"": 0.8500000000000003, ""severe_toxic"": 0.4500000000000001, ""obscene"": 0.47500000000000014, ""threat"": 0.7750000000000002, ""insult"": 0.3500000000000001, ""identity_hate"": 0.4000000000000001}",3e-05,4,16,0.01,0.1,128,sqrt
1,3,0.7922269294529379,0.7043466211200885,0.7957515297180208,"{""toxic"": 0.9250000000000004, ""severe_toxic"": 0.9250000000000004, ""obscene"": 0.9250000000000004, ""threat"": 0.9250000000000004, ""insult"": 0.9250000000000004, ""identity_hate"": 0.9500000000000004}",1e-05,3,16,0.01,0.1,128,raw
35,3,0.7921547262326342,0.7042359491982083,0.7964217962916479,"{""toxic"": 0.9250000000000004, ""severe_toxic"": 0.6000000000000002, ""obscene"": 0.8000000000000003, ""threat"": 0.9500000000000004, ""insult"": 0.4500000000000001, ""identity_hate"": 0.4500000000000001}",2.5e-05,3,8,0.01,0.2,256,raw
18,3,0.7935495626822158,0.7038925595413609,0.7939964340557882,"{""toxic"": 0.6500000000000002, ""severe_toxic"": 0.8750000000000003, ""obscene"": 0.6500000000000002, ""threat"": 0.8500000000000003, ""insult"": 0.5000000000000002, ""identity_hate"": 0.5250000000000001}",2.5e-05,3,16,0.01,0.1,128,sqrt
11,3,0.7898781630740394,0.7036333246843003,0.7928700354714701,"{""toxic"": 0.9250000000000004, ""severe_toxic"": 0.9500000000000004, ""obscene"": 0.9500000000000004, ""threat"": 0.8750000000000003, ""insult"": 0.9500000000000004, ""identity_hate"": 0.8000000000000003}",2e-05,3,16,0.01,0.2,128,raw
36,4,0.792706510728428,0.7035926411162018,0.7949437930339581,"{""toxic"": 0.8750000000000003, ""severe_toxic"": 0.5750000000000002, ""obscene"": 0.8750000000000003, ""threat"": 0.10000000000000002, ""insult"": 0.25000000000000006, ""identity_hate"": 0.6750000000000003}",2.5e-05,4,8,0.01,0.2,256,raw
19,3,0.7879014889034553,0.7035785743100634,0.7928117716578934,"{""toxic"": 0.9500000000000004, ""severe_toxic"": 0.9250000000000004, ""obscene"": 0.9500000000000004, ""threat"": 0.9500000000000004, ""insult"": 0.9000000000000004, ""identity_hate"": 0.6000000000000002}",2.5e-05,3,16,0.01,0.2,128,raw
38,3,0.7930747153041385,0.7028974729072259,0.7947289224767646,"{""toxic"": 0.9250000000000004, ""severe_toxic"": 0.2750000000000001, ""obscene"": 0.6250000000000002, ""threat"": 0.47500000000000014, ""insult"": 0.6500000000000002, ""identity_hate"": 0.5500000000000003}",3e-05,4,8,0.01,0.2,256,raw
31,4,0.7853949329359166,0.7028820789680648,0.7899993609659167,"{""toxic"": 0.9500000000000004, ""severe_toxic"": 0.3750000000000001, ""obscene"": 0.8500000000000003, ""threat"": 0.4250000000000001, ""insult"": 0.8500000000000003, ""identity_hate"": 0.9250000000000004}",3e-05,4,16,0.01,0.2,128,raw
22,3,0.7867906976744186,0.702382068500166,0.7885525007008434,"{""toxic"": 0.7250000000000003, ""severe_toxic"": 0.7250000000000003, ""obscene"": 0.6750000000000003, ""threat"": 0.3500000000000001, ""insult"": 0.5000000000000002, ""identity_hate"": 0.5000000000000002}",2.5e-05,4,16,0.01,0.1,128,sqrt
20,3,0.7896463725847612,0.7018462194493568,0.7932061355530768,"{""toxic"": 0.8000000000000003, ""severe_toxic"": 0.7000000000000003, ""obscene"": 0.6250000000000002, ""threat"": 0.9250000000000004, ""insult"": 0.6500000000000002, ""identity_hate"": 0.5500000000000003}",2.5e-05,3,16,0.01,0.2,128,sqrt
37,3,0.7903255471767519,0.7015239944974537,0.7948119099529959,"{""toxic"": 0.8500000000000003, ""severe_toxic"": 0.5500000000000003, ""obscene"": 0.9000000000000004, ""threat"": 0.9500000000000004, ""insult"": 0.5250000000000001, ""identity_hate"": 0.7000000000000003}",3e-05,3,8,0.01,0.2,256,raw
26,3,0.7929049034175334,0.7010372158946492,0.7934507042133139,"{""toxic"": 0.8000000000000003, ""severe_toxic"": 0.8500000000000003, ""obscene"": 0.5750000000000002, ""threat"": 0.9000000000000004, ""insult"": 0.6250000000000002, ""identity_hate"": 0.7000000000000003}",3e-05,3,16,0.01,0.1,128,sqrt
17,3,0.7916399303327528,0.6999193792164807,0.7947675593572991,"{""toxic"": 0.8250000000000003, ""severe_toxic"": 0.9500000000000004, ""obscene"": 0.9500000000000004, ""threat"": 0.8250000000000003, ""insult"": 0.8750000000000003, ""identity_hate"": 0.6750000000000003}",2.5e-05,3,16,0.01,0.1,128,raw
9,3,0.7879065506184151,0.6996263859178148,0.7920437878298628,"{""toxic"": 0.9500000000000004, ""severe_toxic"": 0.9000000000000004, ""obscene"": 0.8750000000000003, ""threat"": 0.8750000000000003, ""insult"": 0.8000000000000003, ""identity_hate"": 0.8500000000000003}",2e-05,3,16,0.01,0.1,128,raw
25,3,0.7855421686746988,0.6984857400061485,0.7886629809722816,"{""toxic"": 0.9250000000000004, ""severe_toxic"": 0.9500000000000004, ""obscene"": 0.9250000000000004, ""threat"": 0.9500000000000004, ""insult"": 0.8500000000000003, ""identity_hate"": 0.6750000000000003}",3e-05,3,16,0.01,0.1,128,raw
27,2,0.782488733560195,0.6959218653116558,0.7902630924640187,"{""toxic"": 0.8250000000000003, ""severe_toxic"": 0.9250000000000004, ""obscene"": 0.9250000000000004, ""threat"": 0.4500000000000001, ""insult"": 0.9250000000000004, ""identity_hate"": 0.9250000000000004}",3e-05,3,16,0.01,0.2,128,raw
